business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
__aKnGBedQ51_hEc3D9ARw,"""Paradise Bakery & Cafe""",,"""2502 E Camelback Rd, Ste 119""",Phoenix,AZ,85016,33.51027002,-112.0289366,3,75,0,Sandwiches;Restaurants;Food;Bakeries;Juice Bars & Smoothies
_4bbY5joxS7ZM-027Gf6Jw,"""Mikado Sushi""",,"""3941 E Chandler Blvd, Ste 107""",Phoenix,AZ,85048,33.3051079,-111.9994,4.5,7,0,Restaurants;Japanese
_4n7K_UdRSEMw4vJdsU9jQ,"""Ray's Pizza""",,"""3414 W Union Hills Dr, Ste 5""",Phoenix,AZ,85027,33.6556205,-112.1327944,3.5,44,1,Italian;Pizza;Restaurants
_6mvQX9x66oz046eS5ii8w,"""Juan's Authentic Mexican Food""",,"""1516 E Thomas Rd""",Phoenix,AZ,85014,33.4804917,-112.0490225,4,186,1,Restaurants;Mexican
_70P6YlJVWHQq__6NpIWkA,"""Perc Up Coffee Cafe""",,"""2325 N 7th St""",Phoenix,AZ,85006,33.474169,-112.064757,4,14,0,Cafes;Food;Restaurants;Coffee & Tea
_7hhpjQHxjPi0gNzzMmO6g,"""New Sun Star Super Buffet""",,"""5819 S Central Ave""",Phoenix,AZ,85040,33.3936908,-112.0732157,2,7,1,Buffets;Restaurants;Chinese
_7u6Cdgoo65xqUNOuRX4Ew,"""Nekter Juice Bar""",,"""4340 Indian School Rd, Ste 19""",Phoenix,AZ,85018,33.4954244,-111.9881673,4,69,1,Ice Cream & Frozen Yogurt;Gluten-Free;Juice Bars & Smoothies;Acai Bowls;Food;Restaurants
_8AlKWBLY9F9zX8siTOr9A,"""Pita Pit""",,"""2110 W Southern, Ste B""",Mesa,AZ,85013,33.3936568,-111.8771793,4.5,19,1,Restaurants;Fast Food;Mediterranean;Sandwiches;Breakfast & Brunch
_8c3Ky90nE50rN4Mb_Sxtw,"""Hsin Cafe""",,"""120 E Taylor St, Ste 150""",Phoenix,AZ,85004,33.453806,-112.0719128,3.5,61,1,Asian Fusion;Restaurants;Chinese
_8HzIslOdrED7JQF2DU2fg,"""Subway""",,"""8930 N 7th St""",Phoenix,AZ,85020,33.5671471,-112.065592,3,14,1,Sandwiches;Fast Food;Restaurants
_B3jnaQVtDXqydea1y92fQ,"""Texas Roadhouse""",,"""10051 N Metro Pkwy E""",Phoenix,AZ,85051,33.578692,-112.1182099,3.5,207,1,Steakhouses;Barbeque;Restaurants;American (Traditional);American (New)
_BCwZIK6GYht9cM-HGLduQ,"""Las Jicaras Mexican Grill""",,"""722 W Hatcher Rd""",Phoenix,AZ,85021,33.571532,-112.08354,4.5,20,0,Restaurants;Mexican
_bpNAXZqG28e8XplS1wbpw,"""Central Taco""",,"""3110 N Central Ave.""",Phoenix,AZ,85012,33.4841425,-112.0746935,3,8,0,Mexican;Restaurants
_c3ixq9jYKxhLUB0czi0ug,"""Original Hamburger Works""",,"""2801 N 15th Ave""",Phoenix,AZ,85007,33.4797891,-112.0909944,4,255,1,Nightlife;Sports Bars;Burgers;Dive Bars;Restaurants;Bars
_CF9vpN1F9KcAkXbOIkL8w,"""Tokyo Express""",,"""4105 N 51st Ave""",Phoenix,AZ,85031,33.4964589,-112.1672899,3.5,18,1,Restaurants;Japanese
_cRDDAasE-4584eXN_5Ecw,"""Taco Bell""",,"""1004 N. 24th St.""",Phoenix,AZ,85008,33.458733,-112.030345,2.5,3,1,Tex-Mex;Restaurants;Mexican;Fast Food
_DiGwfdiH913E4LURwb2qg,"""New India Bazaar""",,"""2544 N 7th St""",Phoenix,AZ,85006,33.4760486,-112.0654671,3.5,141,1,Specialty Food;Grocery;Ethnic Food;Food;Restaurants;Buffets;Indian
_DPJ_PHJnXsuhYhsgBA0Xw,"""Durant's""",,"""2611 N Central Ave""",Phoenix,AZ,85004,33.47720641,-112.0735331,4,749,1,Steakhouses;Diners;Bars;Wine Bars;Burgers;Seafood;Nightlife;Restaurants
_e3rChyednoh47n2cjGv2w,"""Adela's Italian""",,"""4041 E Thomas Rd, Ste 107""",Phoenix,AZ,85018,33.47985225,-111.9939478,4.5,222,1,Restaurants;Salad;Italian
_E6j0AVb3lkLBLzvPHInXA,"""Smashburger""",,"""21001 N Tatum Blvd, Ste 34-1140""",Phoenix,AZ,85050,33.67599072,-111.970882,3,114,1,Hot Dogs;Restaurants;Sandwiches;American (Traditional);Burgers;Salad;Chicken Wings
_eKvk2GoGKb3CoYolHgRlg,"""Fresko A Mediterranean Kitchen""",,"""5033 E Elliot Rd""",Phoenix,AZ,85044,33.347893,-111.9768218,4.5,88,1,Greek;Vegetarian;Sandwiches;Mediterranean;Restaurants
_fN2KAvWGIu54iuKMT6neg,"""Jetbox Market""",,"""3400 E Skyharbour Blvd""",Phoenix,AZ,85034,33.43753275,-112.00229,2,3,1,Restaurants;Sandwiches
_fTBHNW58xuw0MMbgZTz9w,"""Beijing Garden Chinese""",,"""668 N 44th St, Ste 112""",Phoenix,AZ,85008,33.45532462,-111.9878865,3,74,1,Food;Restaurants;Szechuan;Chinese
_Fuf_7YczZoJhWHkjsi7hQ,"""Royal Pita""",,"""9617 N Metro Pkwy W, Ste 2024""",Phoenix,AZ,85051,33.574974,-112.1210338,4.5,10,1,Restaurants;Greek
_GKMtL4zFOlNc0U3gljT0w,"""Momenti""",,"""4740 E Shea Blvd""",Phoenix,AZ,85028,33.583264,-111.978471,3.5,18,0,Restaurants;Italian;Pizza
_HVZ1V8IDa49MWdejx9BbA,"""America's Taco Shop""",,"""3800 E Sky Harbor Blvd""",Phoenix,AZ,85034,33.4352284,-111.9978273,2,38,1,Mexican;Restaurants
_iEl9sCLsvXEFHUWPvgsAg,"""Chico Malo""",,"""50 W Jefferson St, Ste 100""",Phoenix,AZ,85004,33.44789103,-112.0738993,4,192,1,Restaurants;Mexican;Tapas/Small Plates
_iKCtDTYEUasLkzmhCgv3w,"""Schlotzskys Deli""",,"""2601 N Central Ave""",Phoenix,AZ,85004,33.476644,-112.0736968,2.5,13,0,Restaurants;Sandwiches;Fast Food;Delis
_ikylomPLdTgVtE0xWR_1Q,"""Rolberto's""",,"""5032 N 7th St""",Phoenix,AZ,85014,33.5102487,-112.0652928,3.5,26,1,Breakfast & Brunch;Mexican;Restaurants
_imnJaX4EG_BaoXMCyxFig,"""McDonald's""",,"""6005 S Central Ave""",Phoenix,AZ,85040,33.3919383,-112.072761,1.5,35,1,Burgers;Fast Food;Restaurants
_IsmLuyEvcKzcBmbMHCCfg,"""Julioberto's""",,"""1832 W Thunderbird Rd""",Phoenix,AZ,85023,33.6113884,-112.0987488,2.5,13,1,Mexican;Fast Food;Restaurants
_jGyZz4v9dedx_LIdJHulw,"""KFC""",,"""2902 N 7th Ave""",Phoenix,AZ,85013,33.4805,-112.083,2,27,1,Restaurants;Chicken Wings;Fast Food
_JZ7hXqOZ_MngjPWFgER0w,"""Pizza People Pub""",,"""1326 N Central Ave""",Phoenix,AZ,85004,33.46340471,-112.0740759,4,330,1,American (New);Restaurants;Burgers;Pizza;American (Traditional)
_lD9Y_0OfzZjfz5s-FVwqQ,"""Doner Kebab Chef RD""",,"""4550 E Cactus Rd""",Phoenix,AZ,85032,33.60204999,-111.9836962,4.5,35,1,Imported Food;Ethnic Food;Specialty Food;Food;Restaurants;Mediterranean;Turkish
_likkCtISrdc6OnUO6wpCA,"""Sub Factory""",,"""1747 E Camelback Rd""",Phoenix,AZ,85016,33.5091982,-112.0438152,3,9,0,Restaurants;Sandwiches
_LNVUUb8bTvOxfUNABf0xA,"""Pizza Hut""",,"""4810 E Ray Rd, Ste 1""",Phoenix,AZ,85044,33.3211875,-111.9795022,3,6,1,Italian;Pizza;Chicken Wings;Restaurants
_MeGxn_23d51eOyk-0XuHg,"""Petes Fish & Chips""",,"""1111 E Buckeye Rd""",Phoenix,AZ,85034,33.4364731,-112.0583729,3,24,1,American (Traditional);Seafood;Restaurants;Fish & Chips
_MFOesFi37QwBKtTspCarw,"""Rick's Cafe Metro""",,"""10000 N 31st Ave, Ste A100""",Phoenix,AZ,85051,33.5769471,-112.1266916,4.5,11,1,Coffee & Tea;Food;Delis;Restaurants
_mg5bYknpZgaWSfjQVmrJQ,"""Spinato's Pizzeria""",,"""5509 N 7th St""",Phoenix,AZ,85014,33.51700641,-112.0646513,4,286,1,Pizza;Restaurants;Italian
_MHUEErH3KW_KvVSOjyYhg,"""Pat's Pizza Plus""",,"""1135 E Glendale Ave""",Phoenix,AZ,85020,33.53796718,-112.0571032,3.5,126,1,Sandwiches;Restaurants;Pizza;Italian
_MI20v3QRDrCVXgpzje-Ag,"""City Square Deli & Grill""",,"""22601 N 19th Ave, Ste 121""",Phoenix,AZ,85027,33.6919039,-112.0988342,5,83,1,Sandwiches;Restaurants;Burgers;Breakfast & Brunch;Caterers;Event Planning & Services;Salad
